id_product;active;name;categories;price;id_tax_rules_group;wholesale_price;reference;supplier_reference;id_supplier;id_manufacturer;upc;ecotax;weight;quantity;description_short;description;meta_title;meta_keywords;meta_description;link_rewrite;available_now;available_later;available_for_order;date_add;show_price;online_only;condition;id_shop_default;
"197";"1";"0";"Петарды";"1618.590000";"0";"622.550000";"TXB664";"TXB664";"1";"12";"";"0.000000";"3.166667";"0";"";"";"Батареи салютов WEDNESDAY, 37 сек (1.20" x 25) TXB664 ОПТОМ";"";"У нас Вы можете купить Батареи салютов WEDNESDAY, 37 сек (1.20" x 25) TXB664 ОПТОМ по самым низким ценам!";"wednesday-37-sek-120-x-25";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"199";"1";"-1";"Петарды";"1604.440000";"0";"617.100000";"TXB667";"TXB667";"1";"12";"";"0.000000";"3.166667";"0";"";"";"Батареи салютов Saturday, 48 сек (1.20" x 25) TXB667 ОПТОМ";"";"У нас Вы можете купить Батареи салютов Saturday, 48 сек (1.20" x 25) TXB667 ОПТОМ по самым низким ценам!";"saturday-48-sek-120-x-25";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"205";"1";"10";"Петарды";"1510.060000";"0";"580.800000";"TXB756";"TXB756";"1";"12";"";"0.000000";"2.833333";"0";"";"";"Батареи салютов X-EMOTION, 36 сек (1.20" x 19) TXB756 ОПТОМ";"";"У нас Вы можете купить Батареи салютов X-EMOTION, 36 сек (1.20" x 19) TXB756 ОПТОМ по самым низким ценам!";"x-emotion-36-sek-120-x-19";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"208";"1";"0";"Петарды";"1321.300000";"0";"508.200000";"TXB801";"TXB801";"1";"12";"";"0.000000";"2.833333";"0";"";"";"Батареи салютов TRANDY, 35 сек (1.20" x 19) TXB801 ОПТОМ";"";"У нас Вы можете купить Батареи салютов TRANDY, 35 сек (1.20" x 19) TXB801 ОПТОМ по самым низким ценам!";"trandy-35-sek-120-x-19";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"211";"1";"46";"Петарды";"254.830000";"0";"98.010000";"TXB821";"TXB821";"1";"12";"";"0.000000";"0.416667";"0";"";"";"Батареи салютов YELLOW PURPLE PEONY, 15сек (0.80" x 9) TXB821 ОПТОМ";"";"У нас Вы можете купить Батареи салютов YELLOW PURPLE PEONY, 15сек (0.80" x 9) TXB821 ОПТОМ по самым низким ценам!";"yellow-purple-peony-15sek-080-x-9";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"212";"1";"13";"Петарды";"641.770000";"0";"246.840000";"TXB826";"TXB826";"1";"12";"";"0.000000";"1.000000";"0";"";"";"Батареи салютов MAGIA NOCY, 38 сек (0.80" x 19) TXB826 ОПТОМ";"";"У нас Вы можете купить Батареи салютов MAGIA NOCY, 38 сек (0.80" x 19) TXB826 ОПТОМ по самым низким ценам!";"magia-nocy-38-sek-080-x-19";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"213";"1";"56";"Петарды";"641.770000";"0";"246.840000";"TXB827";"TXB827";"1";"12";"";"0.000000";"1.000000";"0";"";"";"Батареи салютов Лезгинка 28 сек (0.80" x 19) TXB827 ОПТОМ";"";"У нас Вы можете купить Батареи салютов Лезгинка 28 сек (0.80" x 19) TXB827 ОПТОМ по самым низким ценам!";"lezginka-28-sek-080-x-19";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"214";"1";"0";"Петарды";"1170.300000";"0";"450.120000";"TXB828";"TXB828";"1";"12";"";"0.000000";"1.916667";"0";"";"";"Батареи салютов DOTYK PRZYGODY, 35 сек (0.80" x 36) TXB828 ОПТОМ";"";"У нас Вы можете купить Батареи салютов DOTYK PRZYGODY, 35 сек (0.80" x 36) TXB828 ОПТОМ по самым низким ценам!";"dotyk-przygody-35-sek-080-x-36";"";"";"1";"2017-11-05 12:27:39";"1";"0";"new";"1";
"215";"1";"38";"Петарды";"1486.460000";"0";"571.730000";"TXB849";"TXB849";"1";"12";"";"0.000000";"2.833333";"0";"";"";"Батареи салютов X-TRANS I,V, 42 сек (1.20" x 19) TXB849 ОПТОМ";"";"У нас Вы можете купить Батареи салютов X-TRANS I,V, 42 сек (1.20" x 19) TXB849 ОПТОМ по самым низким ценам!";"x-trans-iv-42-sek-120-x-19";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"219";"1";"2";"Петарды";"1746.010000";"0";"671.550000";"TXB906";"TXB906";"1";"12";"";"0.000000";"4.000000";"0";"";"";"Батареи салютов CRAZY BOX, 40 сек (1.20" x 25) TXB906 ОПТОМ";"";"У нас Вы можете купить Батареи салютов CRAZY BOX, 40 сек (1.20" x 25) TXB906 ОПТОМ по самым низким ценам!";"crazy-box-40-sek-120-x-25";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
